Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Metro m2;Tipo Agregado
Apartamento;Freguesia (Jacarepaguá);3;1;1;90;1700.0;595.0;0.0;18.89;Apartamento
Apartamento;Flamengo;2;1;0;68;2000.0;536.0;148.0;29.41;Apartamento
Apartamento;Copacabana;1;0;0;60;2800.0;620.0;128.0;46.67;Apartamento
Loja/Salão;Engenho de Dentro;0;0;0;56;2200.0;0.0;100.0;39.29;Apartamento
Apartamento;Taquara;2;1;0;53;1100.0;450.0;150.0;20.75;Apartamento
Apartamento;Penha;2;0;0;64;950.0;180.0;0.0;14.84;Apartamento
Apartamento;Jardim Botânico;3;1;1;130;6400.0;1500.0;0.0;49.23;Apartamento
Loja/Salão;Barra da Tijuca;0;0;0;140;7200.0;315.0;1550.0;51.43;Apartamento
Apartamento;Leblon;2;1;0;90;3500.0;1300.0;200.0;38.89;Apartamento
Apartamento;Leblon;4;2;4;200;8500.0;2710.0;945.0;42.5;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;208;5000.0;2670.0;530.0;24.04;Apartamento
Apartamento;Tijuca;1;1;1;84;2000.0;718.0;120.0;23.81;Apartamento
Galpão/Depósito/Armazém;Vigário Geral;0;0;0;2000;30000.0;0.0;0.0;15.0;Apartamento
Quitinete;Gardênia Azul;1;0;0;20;485.0;0.0;0.0;24.25;Apartamento
Apartamento;Flamengo;1;0;0;30;1490.0;315.0;55.0;49.67;Apartamento
Casa;São Conrado;4;0;4;1200;25000.0;0.0;0.0;20.83;Casa
Conjunto Comercial/Sala;Freguesia (Jacarepaguá);0;1;0;21;700.0;350.0;0.0;33.33;Apartamento
Apartamento;Maracanã;2;0;0;79;1700.0;600.0;0.0;21.52;Apartamento
Apartamento;Copacabana;1;1;0;150;3000.0;1200.0;390.0;20.0;Apartamento
Conjunto Comercial/Sala;Jacarepaguá;0;1;0;25;990.0;570.0;0.0;39.6;Apartamento
